SHARES,SYMBOL,LONG TERM STOPLOSS,SHORT TERM STOPLOSS,BUY SIGNAL,SHORT TERM BREAKOUT,BREAKOUT 1,BREAKOUT 2,TARGET 
Aditya Birla Capital,ABCAPITAL.NS,112,,114,131,115.5,143.5,148
Alembic limited,ALEMBICLTD.NS,99,123.5,,138.3,,,143
Anjani Portland Cement Ltd,APCL.NS,295,329,339,350,,360,365
Balrampur Chini Mills,BALRAMCHIN.NS,,,,,,,
Banco Products,BANCOINDIA.NS,,,,,,,
Bhansali Engineering Polymers Limited,BEPL.NS,,,,,,,
Bodal Chemicals Limited,BODALCHEM.NS,100,,,,,,108
Camlin Fine Sciences Limited,CAMLINFINE.NS,,,,,,,
Canara Bank,CANBK.NS,147,,,156,,,165
CCL,CCL.NS,285,,,,,,
Chaman Lal Setia Exports Ltd,CLSEL.NS,,,,,,,
Chambal Fertilizers,CHAMBLFERT.NS,275,,,320,,321,345
Confidence Petroleum,CONFIPET.NS,55,,,65.9,68.25,,77
Cybertech Systems And,CYBERTECH.NS,,132,142,,,,161
Datamatics Global Services Limited,DATAMATICS.NS,,,,,,,
D-Link,DLINKINDIA.NS,,,,,,,
Ester Industries Limited,ESTER.NS,96,112.55,,138.5,,159,159
Excel Industries,EXCELINDUS.NS,870,,980,1150,,1150,1270
Fertilizers and Chemical,FACT.NS,122,,,,,139.2,153
Fiem Industries Limited,FIEMIND.NS,611,685,,,,,780
Filatex India Limited,FILATEX.NS,92,,94,111,,118,128
Finolex Cables Limited,FINCABLES.NS,429,,486,,,,580
Firstsource Solutions,FSL.NS,,,,,,,
Glenmark Pharmaceuticals Limited,GLENMARK.NS,578,,626,,,,690
Globus Spirits Limited,GLOBUSSPR.NS,316,,585,,,,710
Goldiam International,GOLDIAM.NS,,,,,,,
Gufic Biosciences Limited,GUFICBIO.NS,,,,,,,
Gujarat Alkalies and Chemicals Limited,GUJALKALI.NS,330,,380,438,450,525,480
Gujarat Ambuja Exports Limited,GAEL.NS,155,,168,176.5,186.8,,186
Gujarat Sidhee Cement Limited,GSCLCEMENT.NS,39,,42.5,,,,47.9
Gujarat State Petronet Limited,GSPL.NS,299,,,,,,403
Gulshan Polyols Ltd,GULPOLY.NS,,,,,,,
Hindustan Zinc Limited,HINDZINC.NS,,,,,,,
International Conveyor,INTLCONV.BO,,,,,,,
JK Paper Limited,JKPAPER.NS,160,178,,,,,240
JSW Energy Limited,JSWENERGY.NS,,,,,,,
JSW Holdings Limited,JSWHL.NS,,,,,,,
Kirloskar Ferrous Indu,KIRLFER.BO,225,,,,,,
Kirloskar Oil Engines Limited,KIRLOSENG.NS,223,,231,253,,290,280
Kirloskar Pneumatic Co,KIRLPNU.BO,,357,378,,,,413
Kopran Limited,KOPRAN.NS,172,192,,213,,234,247
LT Foods Limited,DAAWAT.NS,,,,,,,
Maithan Alloys Limited,MAITHANALL.NS,,,,,,,
Manali Petrochemicals,MANALIPETC.NS,75.6,78.5,84,,,90.2,89
Marksans Pharma Limited,MARKSANS.NS,68,,82,93.85,,,100
Mastek Limited,MASTEK.NS,,,,,,,
Morepen Laboratories,MOREPENLAB.NS,52.5,,52.8,68.75,,72.05,74
Nahar Poly Films Limited,NAHARPOLY.NS,145,157,163,,,168.8,179
NIIT Limited,NIITLTD.NS,165,259,267,287,,,287
Praj Industries Limited,PRAJIND.NS,,,,,,,
R Systems Internationa,RSYSTEMS.NS,,,,,,,
Rama Phosphates Ltd,RAMAPHO.BO,195,,231,,,,270
Redington,REDINGTON.NS,,,,,,,
Remsons Industries Limited,REMSONSIND.NS,,,,,,,
Sandur Manganese & Iron,SANDUMA.BO,1565,,,,,,
Shree Digvijay Cement,SHREDIGCEM.BO,,,,,,,
SMS Pharmaceuticals Limited,SMSPHARMA.NS,,,,,,,
Sree Rayalaseema Hi Strength,SRHHYPOLTD.NS,270,287,316,,,367.35,396
Srikalahasthi Pipes Limited,SRIPIPES.NS,183.55,209,198,224,234,261.8,284
State Bank of India,SBIN.NS,350,403,,433,427.7,,515
Talbros Automotive Com,TALBROAUTO.NS,225,236,260,290.8,,,326
Tata Coffee Limited,TATACOFFEE.NS,162,164,186,188.6,193.4,,211
Tata Metaliks Limited,TATAMETALI.NS,870,1050,,1197,1375,,1260
Tata Power Company Limited,TATAPOWER.NS,107,110,115,125.1,,132.7,143
The Tinplate Company,TINPLATE.NS,,,,,,,
Udaipur Cement Works,UDAICEMENT.BO,24.5,25.2,27.6,29.8,,,34
VA Tech Wabag Limited,WABAG.NS,286,,315,364,364,414,400
Vardhman Special Steels Limited,VSSL.NS,186,,203,236.6,,,260
Vidhi Specialty Food,VIDHIING.NS,,199,215,,,,232
Vikram Thermo,VIKRAMTH.BO,,,,,,,
Vinyl Chemicals,VINYLINDIA.NS,131,,145,161,163,,175
Vipul Organics Ltd,VIPULORG.BO,,,,,,,
